ppg
timestamp	value
1623665296384	5064474
1623665296415	5064502
1623665296450	5062260
1623665296483	5062224
1623665296517	5062588
1623665296551	5060469
1623665296597	5059259
1623665296618	5060169
1623665296653	5060472
1623665296685	5060971
1623665296720	5059356
1623665296755	5061217
1623665296794	5064089
1623665296827	5062710
1623665296856	5065269
1623665296889	5066975
1623665296923	5067148
1623665296958	5067050
1623665296992	5068722
1623665297024	5070888
1623665297058	5069499
1623665297092	5066815
1623665297125	5068870
1623665297157	5061573
1623665297193	5056247
1623665297239	5054477
1623665297262	5051464
1623665297294	5048262
1623665297329	5049350
1623665297361	5050817
1623665297403	5047729
1623665297439	5045446
1623665297464	5046881
1623665297498	5045908
1623665297530	5044777
1623665297568	5044961
1623665297600	5045993
1623665297633	5046666
1623665297663	5047538
1623665297698	5050976
1623665297732	5053618
1623665297766	5053323
1623665297802	5053694
1623665297832	5052733
1623665297866	5052621
1623665297898	5053439
1623665297929	5054601
1623665297967	5053914
1623665298003	5054098
1623665298045	5050962
1623665298069	5045316
1623665298100	5042121
1623665298130	5040985
1623665298170	5042058
1623665298210	5041800
1623665298242	5041713
1623665298272	5042459
1623665298306	5041042
1623665298339	5040059
1623665298374	5041077
1623665298413	5040030
1623665298441	5037521
1623665298472	5038227
1623665298506	5040309
1623665298536	5040800
1623665298575	5039323
1623665298609	5040796
1623665298655	5042318
1623665298678	5042236
1623665298709	5041720
1623665298744	5044519
1623665298779	5046886
1623665298813	5048852
1623665298852	5050371
1623665298885	5050967
1623665298915	5054177
1623665298950	5053182
1623665298985	5048498
1623665299017	5046473
1623665299052	5045963
1623665299100	5045760
1623665299118	5044401
1623665299151	5043482
1623665299186	5042683
1623665299223	5040690
1623665299253	5039368
1623665299299	5037998
1623665299331	5037929
1623665299355	5040446
1623665299389	5041300
1623665299422	5044431
1623665299458	5048726
1623665299495	5052627
1623665299528	5054289
1623665299556	5056566
1623665299591	5059498
1623665299625	5060298
1623665299660	5059792
1623665299694	5063372
1623665299743	5067436
1623665299761	5068788
1623665299793	5069925
1623665299826	5073427
1623665299857	5075807
1623665299891	5072932
1623665299940	5068563
1623665299973	5068520
1623665299998	5070064
1623665300031	5068230
1623665300064	5069109
1623665300098	5071408
1623665300138	5068176
1623665300170	5068729
1623665300197	5068969
1623665300230	5066372
1623665300266	5064987
1623665300302	5064688
1623665300335	5065553
1623665300368	5069180
1623665300402	5068212
1623665300436	5067246
1623665300472	5063544
1623665300504	5062180
1623665300538	5064267
1623665300582	5065391
1623665300602	5065065
1623665300637	5066327
1623665300669	5065529
1623665300706	5065455
1623665300740	5066372
1623665300779	5065106
1623665300812	5064430
1623665300841	5065971
1623665300878	5063606
1623665300909	5059060
1623665300944	5055105
1623665300977	5050412
1623665301007	5051010
1623665301042	5052444
1623665301076	5054178
1623665301110	5053409
1623665301144	5051017
1623665301176	5052346
1623665301224	5053281
1623665301245	5051883
1623665301280	5051908
1623665301313	5053062
1623665301349	5054826
1623665301380	5056971
1623665301421	5058069
1623665301455	5059156
1623665301480	5060192
1623665301515	5061970
1623665301549	5061918
1623665301586	5062180
1623665301619	5063895
1623665301653	5064183
1623665301681	5063791
1623665301718	5062312
1623665301752	5062659
1623665301785	5062843
1623665301822	5061970
1623665301867	5060139
1623665301889	5055188
1623665301921	5049937
1623665301956	5048575
1623665301984	5047186
1623665302023	5048264
1623665302064	5047264
1623665302097	5045290
1623665302123	5047460
1623665302158	5048194
1623665302192	5048074
1623665302228	5047630
1623665302261	5047854
1623665302311	5048042
1623665302328	5048040
1623665302363	5048854
1623665302395	5048706
1623665302426	5049585
1623665302461	5049952
1623665302508	5050158
1623665302528	5050455
1623665302563	5052146
1623665302598	5052595
1623665302633	5053138
1623665302673	5053295
1623665302705	5055974
1623665302734	5057566
1623665302765	5057988
1623665302801	5056506
1623665302834	5054201
1623665302871	5051239
1623665302903	5048757
1623665302934	5046496
1623665302968	5047610
1623665303004	5046054
1623665303037	5044257
1623665303070	5041971
1623665303118	5042065
1623665303137	5040361
1623665303172	5040297
1623665303201	5038213
1623665303241	5035983
1623665303274	5035363
1623665303315	5035734
1623665303341	5035821
1623665303375	5035836
1623665303407	5038219
1623665303442	5039386
1623665303482	5041403
1623665303513	5043118
1623665303541	5043247
1623665303577	5043813
1623665303612	5044811
1623665303644	5045377
1623665303679	5047218
1623665303714	5050066
1623665303745	5050247
1623665303780	5051056
1623665303813	5052627
1623665303847	5050189
1623665303880	5043427
1623665303925	5041722
1623665303957	5041277
1623665303985	5039832
1623665304015	5038660
1623665304048	5035871
1623665304086	5033970
1623665304122	5032797
1623665304155	5032357
1623665304188	5030122
1623665304220	5028858
1623665304253	5027089
1623665304286	5027287
1623665304320	5028757
1623665304354	5030755
1623665304387	5029152
1623665304422	5030033
1623665304456	5031163
1623665304488	5032370
1623665304524	5032752
1623665304567	5034056
1623665304591	5034287
1623665304625	5034369
1623665304659	5035345
1623665304691	5036149
1623665304727	5038348
1623665304765	5038924
1623665304797	5039827
1623665304824	5039938
1623665304859	5039491
1623665304896	5037493
1623665304929	5033405
1623665304963	5036043
1623665304996	5037746
1623665305045	5036150
1623665305063	5033051
1623665305096	5032993
1623665305133	5031309
1623665305164	5029820
1623665305210	5029037
1623665305242	5030427
1623665305266	5029760
1623665305300	5028024
1623665305335	5027703
1623665305374	5031293
1623665305407	5035075
1623665305439	5036268
1623665305467	5038016
1623665305502	5039516
1623665305537	5039534
1623665305572	5040544
1623665305605	5042682
1623665305638	5042996
1623665305670	5042719
1623665305704	5044415
1623665305740	5047261
1623665305772	5051147
1623665305807	5052893
1623665305852	5053346
1623665305875	5051777
1623665305907	5048266
1623665305940	5046769
1623665305975	5045766
1623665306016	5046982
1623665306049	5045825
1623665306076	5043742
1623665306109	5041949
1623665306144	5041973
1623665306175	5042280
1623665306213	5041293
1623665306246	5038499
1623665306277	5039400
1623665306313	5037912
1623665306348	5038094
1623665306379	5042327
1623665306413	5042741
1623665306448	5043000
1623665306496	5046220
1623665306514	5047745
1623665306549	5046691
1623665306582	5047172
1623665306614	5048368
1623665306658	5048430
1623665306691	5048226
1623665306716	5049731
1623665306750	5049805
1623665306787	5051362
1623665306819	5051658
1623665306855	5049504
1623665306888	5044371
1623665306920	5039254
1623665306952	5038599
1623665306987	5041111
1623665307021	5042504
1623665307054	5043763
1623665307103	5046984
1623665307122	5047411
1623665307157	5046693
1623665307191	5046642
1623665307223	5045542
1623665307259	5043175
1623665307300	5043423
1623665307325	5042551
1623665307360	5044045
1623665307392	5043368
1623665307427	5042176
1623665307460	5042238
1623665307498	5042241
1623665307527	5041071
1623665307562	5039813
1623665307597	5040429
1623665307630	5039762
1623665307663	5039159
1623665307697	5039632
1623665307746	5040767
1623665307765	5041540
1623665307800	5040557
1623665307830	5037618
